Acceleration X,Acceleration Y,Acceleration Z,Label,Cycle
-0.306,-0.153,9.96,sit down,1
-0.306,-0.153,9.96,sit down,1
-0.306,-0.153,9.96,sit down,1
-0.306,-0.153,9.96,sit down,1
-0.306,-0.153,9.96,sit down,1
-0.306,-0.153,9.96,sit down,1
-0.306,-0.153,9.96,sit down,1
-0.306,-0.153,9.96,sit down,1
-0.306,-0.153,9.96,sit down,1
-0.306,-0.153,9.96,sit down,1
-0.306,-0.153,9.96,sit down,1
-0.306,-0.153,9.96,sit down,1
-0.306,-0.153,9.96,sit down,1
-0.306,-0.153,9.96,sit down,1
-0.306,-0.153,9.96,sit down,1
-0.306,-0.153,9.96,sit down,1
-0.306,-0.153,9.96,sit down,1
-0.306,-0.153,9.96,sit down,1
-0.306,-0.153,9.96,sit down,1
-0.306,-0.153,9.96,sit down,1
-0.306,-0.153,9.96,sit down,1
-0.306,-0.153,9.96,sit down,1
-0.306,-0.153,9.96,sit down,1
-0.306,-0.153,9.96,sit down,1
-0.306,-0.153,9.96,sit down,1
-0.306,-0.153,9.96,sit down,1
-0.306,-0.153,9.96,sit down,1
-0.306,-0.153,9.96,sit down,1
-0.306,-0.153,9.96,sit down,1
-0.306,-0.153,9.96,sit down,1
-0.306,-0.153,9.96,sit down,1
-0.306,-0.153,9.96,sit down,1
-0.306,-0.153,9.96,sit down,1
-0.306,-0.153,9.96,sit down,1
-0.306,-0.153,9.96,sit down,1
-0.306,-0.153,9.96,sit down,1
-0.306,-0.153,9.96,sit down,1
-0.306,-0.153,9.96,sit down,1
