Acceleration X,Acceleration Y,Acceleration Z,Label,Cycle
-1.379,-0.919,9.807,lay down,1
-1.379,-0.306,10.573,lay down,1
1.379,-0.153,9.193999999999999,lay down,1
-0.45899999999999996,-1.225,8.887,lay down,1
-0.45899999999999996,-0.7659999999999999,9.807,lay down,1
-0.45899999999999996,-0.919,9.96,lay down,1
-0.7659999999999999,-0.919,10.265999999999998,lay down,1
-0.306,-0.45899999999999996,9.652999999999999,lay down,1
-0.45899999999999996,-1.072,9.96,lay down,1
-0.45899999999999996,-0.919,9.807,lay down,1
-0.45899999999999996,-0.612,9.807,lay down,1
-0.153,-0.612,9.5,lay down,1
-0.7659999999999999,-0.612,9.96,lay down,1
-0.7659999999999999,-0.612,10.113,lay down,1
-0.7659999999999999,-0.612,9.807,lay down,1
-0.7659999999999999,-0.919,9.652999999999999,lay down,1
-0.7659999999999999,-0.153,10.113,lay down,1
-0.7659999999999999,-0.45899999999999996,9.807,lay down,1
-0.7659999999999999,-0.612,9.807,lay down,1
-0.7659999999999999,-0.612,9.807,lay down,1
-0.7659999999999999,-0.153,9.807,lay down,1
-0.7659999999999999,-1.5319999999999998,10.113,lay down,1
-0.7659999999999999,-0.919,9.652999999999999,lay down,1
0.0,-0.45899999999999996,9.5,lay down,1
-0.45899999999999996,0.153,9.5,lay down,1
-1.225,-0.45899999999999996,10.419,lay down,1
-1.5319999999999998,-1.379,10.419,lay down,1
-0.919,-0.45899999999999996,9.96,lay down,1
-1.072,-0.153,9.5,lay down,1
0.153,-0.153,9.807,lay down,1
-0.612,-0.919,9.807,lay down,1
-0.306,-0.612,9.807,lay down,1
-0.153,-0.45899999999999996,9.347000000000001,lay down,1
-0.153,-0.7659999999999999,9.347000000000001,lay down,1
-1.072,-0.919,10.113,lay down,1
-1.5319999999999998,-0.153,10.573,lay down,1
